2021-08-31 15:52:25,903 INFO: {'Rotation': 0.0000, 'Motors': ('PWR','PWR','PWR','PWR'), 'Status': 'No Data Recieved.'}
2021-08-31 15:53:46,156 INFO: {'Rotation': -26.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,222 INFO: {'Rotation': -24.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,272 INFO: {'Rotation': -22.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,338 INFO: {'Rotation': -20.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,404 INFO: {'Rotation': -18.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,455 INFO: {'Rotation': -16.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,521 INFO: {'Rotation': -14.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,588 INFO: {'Rotation': -12.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,655 INFO: {'Rotation': -10.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,705 INFO: {'Rotation': -8.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,772 INFO: {'Rotation': -6.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,838 INFO: {'Rotation': -4.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,887 INFO: {'Rotation': -2.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,954 INFO: {'Rotation': 0.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,020 INFO: {'Rotation': 2.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,088 INFO: {'Rotation': 4.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,136 INFO: {'Rotation': 6.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,204 INFO: {'Rotation': 8.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,271 INFO: {'Rotation': 10.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,320 INFO: {'Rotation': 12.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,403 INFO: {'Rotation': 14.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,453 INFO: {'Rotation': 16.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,520 INFO: {'Rotation': 18.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,571 INFO: {'Rotation': 20.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,639 INFO: {'Rotation': 22.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,702 INFO: {'Rotation': 24.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,770 INFO: {'Rotation': 26.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,838 INFO: {'Rotation': 28.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,888 INFO: {'Rotation': 30.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:47,955 INFO: {'Rotation': 32.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,007 INFO: {'Rotation': 34.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,074 INFO: {'Rotation': 36.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,142 INFO: {'Rotation': 38.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,193 INFO: {'Rotation': 40.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,258 INFO: {'Rotation': 42.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,325 INFO: {'Rotation': 44.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,379 INFO: {'Rotation': 46.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,445 INFO: {'Rotation': 48.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,512 INFO: {'Rotation': 50.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,563 INFO: {'Rotation': 52.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,638 INFO: {'Rotation': 54.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,695 INFO: {'Rotation': 56.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,764 INFO: {'Rotation': 58.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,816 INFO: {'Rotation': 60.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,883 INFO: {'Rotation': 62.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:48,935 INFO: {'Rotation': 64.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,018 INFO: {'Rotation': 66.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,067 INFO: {'Rotation': 68.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,120 INFO: {'Rotation': 70.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,203 INFO: {'Rotation': 72.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,252 INFO: {'Rotation': 74.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,318 INFO: {'Rotation': 76.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,369 INFO: {'Rotation': 78.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,436 INFO: {'Rotation': 80.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,502 INFO: {'Rotation': 82.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,567 INFO: {'Rotation': 84.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,617 INFO: {'Rotation': 86.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,683 INFO: {'Rotation': 88.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,750 INFO: {'Rotation': 90.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,802 INFO: {'Rotation': 92.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,868 INFO: {'Rotation': 94.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:49,937 INFO: {'Rotation': 96.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,004 INFO: {'Rotation': 98.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,053 INFO: {'Rotation': 100.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,121 INFO: {'Rotation': 102.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,181 INFO: {'Rotation': 104.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,239 INFO: {'Rotation': 106.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,305 INFO: {'Rotation': 108.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,373 INFO: {'Rotation': 110.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,423 INFO: {'Rotation': 112.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,508 INFO: {'Rotation': 114.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:50,557 INFO: {'Rotation': 116.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
